Sum: 49995000





main shutdown
[379]: sampled: 22000, processed: 1069000, actuated: 1082000
[380]: sampled: 22000, processed: 1079000, actuated: 1092000
[381]: sampled: 21000, processed: 1104000, actuated: 1117000
[382]: sampled: 22000, processed: 974000, actuated: 987000
[383]: sampled: 22000, processed: 1103000, actuated: 1116000
[384]: sampled: 22000, processed: 1195000, actuated: 1208000
[385]: sampled: 21000, processed: 1156000, actuated: 1169000
[386]: sampled: 29000, processed: 976000, actuated: 989000
[387]: sampled: 22000, processed: 1160000, actuated: 1173000
[388]: sampled: 22000, processed: 981000, actuated: 994000
[389]: sampled: 22000, processed: 1023000, actuated: 1036000
[390]: sampled: 22000, processed: 951000, actuated: 964000
[391]: sampled: 21000, processed: 1158000, actuated: 1171000
[392]: sampled: 22000, processed: 1077000, actuated: 1090000
[393]: sampled: 22000, processed: 887000, actuated: 900000
[394]: sampled: 21000, processed: 927000, actuated: 940000
[395]: sampled: 21000, processed: 1025000, actuated: 1038000
[396]: sampled: 22000, processed: 1726000, actuated: 1741000
[397]: sampled: 26000, processed: 1111000, actuated: 1124000
[398]: sampled: 22000, processed: 1076000, actuated: 1089000
[399]: sampled: 21000, processed: 1111000, actuated: 1124000
[400]: sampled: 21000, processed: 981000, actuated: 994000
[401]: sampled: 22000, processed: 1087000, actuated: 1100000
[402]: sampled: 22000, processed: 1030000, actuated: 1043000
[403]: sampled: 22000, processed: 1063000, actuated: 1076000
[404]: sampled: 22000, processed: 1036000, actuated: 1049000
[405]: sampled: 21000, processed: 995000, actuated: 1008000
[406]: sampled: 22000, processed: 928000, actuated: 941000
[407]: sampled: 21000, processed: 1026000, actuated: 1039000
[408]: sampled: 20000, processed: 949000, actuated: 962000
[409]: sampled: 29000, processed: 1055000, actuated: 1068000
[410]: sampled: 22000, processed: 1044000, actuated: 1057000
[411]: sampled: 23000, processed: 1002000, actuated: 1015000
[412]: sampled: 22000, processed: 1037000, actuated: 1050000
[413]: sampled: 22000, processed: 1109000, actuated: 1122000
[414]: sampled: 21000, processed: 985000, actuated: 998000
[415]: sampled: 22000, processed: 975000, actuated: 988000
[416]: sampled: 21000, processed: 1040000, actuated: 1053000
[417]: sampled: 22000, processed: 999000, actuated: 1012000
[418]: sampled: 20000, processed: 754000, actuated: 767000
[419]: sampled: 22000, processed: 1123000, actuated: 1136000
[420]: sampled: 21000, processed: 976000, actuated: 989000
[421]: sampled: 22000, processed: 1422000, actuated: 1437000
[422]: sampled: 24000, processed: 874000, actuated: 887000
[423]: sampled: 23000, processed: 1106000, actuated: 1119000
[424]: sampled: 22000, processed: 873000, actuated: 886000
[425]: sampled: 22000, processed: 1065000, actuated: 1078000
[426]: sampled: 22000, processed: 1159000, actuated: 1172000
[427]: sampled: 22000, processed: 1055000, actuated: 1068000
[428]: sampled: 21000, processed: 1167000, actuated: 1180000
[429]: sampled: 22000, processed: 992000, actuated: 1005000
[430]: sampled: 21000, processed: 1078000, actuated: 1091000
[431]: sampled: 26000, processed: 1050000, actuated: 1063000
[432]: sampled: 23000, processed: 1112000, actuated: 1125000
[433]: sampled: 22000, processed: 886000, actuated: 899000
[434]: sampled: 22000, processed: 950000, actuated: 963000
[435]: sampled: 20000, processed: 994000, actuated: 1007000
[436]: sampled: 22000, processed: 850000, actuated: 863000
[437]: sampled: 22000, processed: 1084000, actuated: 1097000
[438]: sampled: 22000, processed: 1155000, actuated: 1168000
[439]: sampled: 21000, processed: 986000, actuated: 999000
[440]: sampled: 22000, processed: 944000, actuated: 957000
[441]: sampled: 22000, processed: 1082000, actuated: 1095000
[442]: sampled: 22000, processed: 1002000, actuated: 1015000
[443]: sampled: 30000, processed: 794000, actuated: 807000
[444]: sampled: 22000, processed: 1153000, actuated: 1166000
[445]: sampled: 22000, processed: 918000, actuated: 931000
[446]: sampled: 22000, processed: 1206000, actuated: 1219000
[447]: sampled: 22000, processed: 1098000, actuated: 1111000
[448]: sampled: 21000, processed: 1037000, actuated: 1050000
[449]: sampled: 21000, processed: 961000, actuated: 974000
[450]: sampled: 21000, processed: 1095000, actuated: 1108000
[451]: sampled: 22000, processed: 1075000, actuated: 1088000
[452]: sampled: 22000, processed: 1064000, actuated: 1077000
[453]: sampled: 22000, processed: 923000, actuated: 936000
[454]: sampled: 702000, processed: 1482000, actuated: 1495000
[455]: sampled: 22000, processed: 1074000, actuated: 1087000
[456]: sampled: 21000, processed: 1140000, actuated: 1153000
[457]: sampled: 22000, processed: 1229000, actuated: 1242000
[458]: sampled: 21000, processed: 1118000, actuated: 1131000
[459]: sampled: 21000, processed: 934000, actuated: 947000
[460]: sampled: 21000, processed: 1112000, actuated: 1125000
[461]: sampled: 22000, processed: 981000, actuated: 994000
[462]: sampled: 22000, processed: 1025000, actuated: 1038000
[463]: sampled: 22000, processed: 1020000, actuated: 1033000
[464]: sampled: 21000, processed: 1271000, actuated: 1284000
[465]: sampled: 29000, processed: 860000, actuated: 873000
[466]: sampled: 23000, processed: 1255000, actuated: 1268000
[467]: sampled: 22000, processed: 1057000, actuated: 1070000
[468]: sampled: 22000, processed: 1018000, actuated: 1031000
[469]: sampled: 22000, processed: 1122000, actuated: 1135000
[470]: sampled: 22000, processed: 1023000, actuated: 1036000
[471]: sampled: 21000, processed: 1095000, actuated: 1108000
[472]: sampled: 20000, processed: 868000, actuated: 881000
[473]: sampled: 22000, processed: 1049000, actuated: 1062000
[474]: sampled: 22000, processed: 988000, actuated: 1001000
[475]: sampled: 22000, processed: 1084000, actuated: 1097000
[476]: sampled: 21000, processed: 1142000, actuated: 1155000
[477]: sampled: 32000, processed: 1243000, actuated: 1256000
[478]: sampled: 25000, processed: 1037000, actuated: 1050000
[479]: sampled: 21000, processed: 935000, actuated: 948000
[480]: sampled: 21000, processed: 1080000, actuated: 1093000
[481]: sampled: 22000, processed: 943000, actuated: 956000
[482]: sampled: 22000, processed: 1007000, actuated: 1020000
[483]: sampled: 21000, processed: 1051000, actuated: 1064000
[484]: sampled: 22000, processed: 919000, actuated: 932000
[485]: sampled: 20000, processed: 880000, actuated: 893000
[486]: sampled: 26000, processed: 1035000, actuated: 1048000
[487]: sampled: 22000, processed: 845000, actuated: 858000
[488]: sampled: 22000, processed: 946000, actuated: 959000
[489]: sampled: 22000, processed: 974000, actuated: 987000
[490]: sampled: 22000, processed: 1011000, actuated: 1024000
[491]: sampled: 21000, processed: 1137000, actuated: 1150000
