Sum: 49995000









main shutdown
[401]: sampled: 21000, processed: 1087000, actuated: 1100000
[402]: sampled: 22000, processed: 1030000, actuated: 1043000
[403]: sampled: 21000, processed: 1062000, actuated: 1075000
[404]: sampled: 22000, processed: 1037000, actuated: 1050000
[405]: sampled: 21000, processed: 995000, actuated: 1008000
[406]: sampled: 22000, processed: 928000, actuated: 941000
[407]: sampled: 28000, processed: 1034000, actuated: 1047000
[408]: sampled: 22000, processed: 951000, actuated: 964000
[409]: sampled: 22000, processed: 1047000, actuated: 1060000
[410]: sampled: 22000, processed: 1042000, actuated: 1055000
[411]: sampled: 22000, processed: 1000000, actuated: 1013000
[412]: sampled: 22000, processed: 1037000, actuated: 1050000
[413]: sampled: 21000, processed: 1109000, actuated: 1122000
[414]: sampled: 22000, processed: 986000, actuated: 999000
[415]: sampled: 21000, processed: 975000, actuated: 988000
[416]: sampled: 28000, processed: 1047000, actuated: 1060000
[417]: sampled: 22000, processed: 1001000, actuated: 1014000
[418]: sampled: 22000, processed: 756000, actuated: 769000
[419]: sampled: 21000, processed: 1122000, actuated: 1135000
[420]: sampled: 20000, processed: 975000, actuated: 988000
[421]: sampled: 22000, processed: 1161000, actuated: 1174000
[422]: sampled: 22000, processed: 872000, actuated: 885000
[423]: sampled: 21000, processed: 1104000, actuated: 1117000
[424]: sampled: 21000, processed: 872000, actuated: 885000
[425]: sampled: 29000, processed: 1074000, actuated: 1087000
[426]: sampled: 24000, processed: 1163000, actuated: 1176000
[427]: sampled: 23000, processed: 1057000, actuated: 1070000
[428]: sampled: 21000, processed: 1167000, actuated: 1180000
[429]: sampled: 22000, processed: 991000, actuated: 1004000
[430]: sampled: 22000, processed: 1078000, actuated: 1091000
[431]: sampled: 20000, processed: 1042000, actuated: 1055000
[432]: sampled: 22000, processed: 1109000, actuated: 1122000
[433]: sampled: 21000, processed: 885000, actuated: 898000
[434]: sampled: 22000, processed: 951000, actuated: 964000
[435]: sampled: 29000, processed: 1003000, actuated: 1016000
[436]: sampled: 24000, processed: 853000, actuated: 866000
[437]: sampled: 22000, processed: 1084000, actuated: 1097000
[438]: sampled: 20000, processed: 1154000, actuated: 1167000
[439]: sampled: 22000, processed: 986000, actuated: 999000
[440]: sampled: 21000, processed: 943000, actuated: 956000
[441]: sampled: 22000, processed: 1081000, actuated: 1094000
[442]: sampled: 22000, processed: 1001000, actuated: 1014000
[443]: sampled: 21000, processed: 783000, actuated: 796000
[444]: sampled: 20000, processed: 1150000, actuated: 1163000
[445]: sampled: 26000, processed: 924000, actuated: 937000
[446]: sampled: 22000, processed: 1206000, actuated: 1219000
