sum: 49995000



Stop after 1000 iterations
main shutdown
logger shutdown
[269]: sampled: 183000, processed: 1576000, actuated: 1616000
[270]: sampled: 190000, processed: 1461000, actuated: 1501000
[271]: sampled: 166000, processed: 1437000, actuated: 1477000
[272]: sampled: 177000, processed: 1601000, actuated: 1641000
[273]: sampled: 184000, processed: 1546000, actuated: 1587000
[274]: sampled: 191000, processed: 1401000, actuated: 1441000
[275]: sampled: 171000, processed: 1379000, actuated: 1420000
[276]: sampled: 184000, processed: 1639000, actuated: 1679000
[277]: sampled: 198000, processed: 1531000, actuated: 1571000
[278]: sampled: 181000, processed: 1483000, actuated: 1523000
[279]: sampled: 191000, processed: 1462000, actuated: 1502000
[280]: sampled: 171000, processed: 1718000, actuated: 1758000
[281]: sampled: 181000, processed: 1421000, actuated: 1461000
[282]: sampled: 188000, processed: 1581000, actuated: 1621000
[283]: sampled: 166000, processed: 1407000, actuated: 1447000
[284]: sampled: 179000, processed: 1482000, actuated: 1522000
[285]: sampled: 193000, processed: 1587000, actuated: 1627000
[286]: sampled: 176000, processed: 1416000, actuated: 1456000
[287]: sampled: 186000, processed: 1517000, actuated: 1557000
[288]: sampled: 194000, processed: 1435000, actuated: 1475000
[289]: sampled: 176000, processed: 1325000, actuated: 1365000
[290]: sampled: 189000, processed: 1613000, actuated: 1654000
[291]: sampled: 170000, processed: 1441000, actuated: 1481000
[292]: sampled: 184000, processed: 1425000, actuated: 1465000
[293]: sampled: 198000, processed: 1624000, actuated: 1664000
[294]: sampled: 182000, processed: 1699000, actuated: 1739000
[295]: sampled: 194000, processed: 1436000, actuated: 1476000
[296]: sampled: 178000, processed: 1418000, actuated: 1459000
[297]: sampled: 188000, processed: 1521000, actuated: 1561000
[298]: sampled: 167000, processed: 1500000, actuated: 1540000
[299]: sampled: 177000, processed: 1570000, actuated: 1610000
[300]: sampled: 186000, processed: 1487000, actuated: 1528000
[301]: sampled: 198000, processed: 1469000, actuated: 1509000
[302]: sampled: 175000, processed: 1384000, actuated: 1424000
[303]: sampled: 184000, processed: 1701000, actuated: 1741000
[304]: sampled: 190000, processed: 1584000, actuated: 1624000
[305]: sampled: 172000, processed: 1566000, actuated: 1606000
[306]: sampled: 181000, processed: 1667000, actuated: 1707000
[307]: sampled: 188000, processed: 1429000, actuated: 1469000
[308]: sampled: 167000, processed: 1468000, actuated: 1509000
[309]: sampled: 178000, processed: 1602000, actuated: 1642000
[310]: sampled: 187000, processed: 1734000, actuated: 1774000
[311]: sampled: 169000, processed: 1379000, actuated: 1419000
[312]: sampled: 180000, processed: 1512000, actuated: 1552000
[313]: sampled: 190000, processed: 1553000, actuated: 1593000
[314]: sampled: 168000, processed: 1500000, actuated: 1540000
[315]: sampled: 177000, processed: 1448000, actuated: 1488000
[316]: sampled: 186000, processed: 1395000, actuated: 1435000
[317]: sampled: 194000, processed: 1496000, actuated: 1536000
[318]: sampled: 174000, processed: 1599000, actuated: 1639000
[319]: sampled: 184000, processed: 1546000, actuated: 1587000
[320]: sampled: 192000, processed: 1433000, actuated: 1473000
[321]: sampled: 170000, processed: 1501000, actuated: 1542000
[322]: sampled: 180000, processed: 1328000, actuated: 1369000
[323]: sampled: 190000, processed: 1798000, actuated: 1838000
[324]: sampled: 169000, processed: 1624000, actuated: 1664000
[325]: sampled: 180000, processed: 1696000, actuated: 1737000
[326]: sampled: 191000, processed: 1371000, actuated: 1411000
[327]: sampled: 172000, processed: 1504000, actuated: 1544000
[328]: sampled: 183000, processed: 1515000, actuated: 1555000
[329]: sampled: 194000, processed: 1404000, actuated: 1444000
[330]: sampled: 174000, processed: 1414000, actuated: 1454000
[331]: sampled: 184000, processed: 1546000, actuated: 1587000
[332]: sampled: 195000, processed: 1589000, actuated: 1629000
[333]: sampled: 174000, processed: 2822000, actuated: 2862000
[334]: sampled: 181000, processed: 1483000, actuated: 1523000
[335]: sampled: 190000, processed: 1399000, actuated: 1440000
[336]: sampled: 165000, processed: 1404000, actuated: 1444000
[337]: sampled: 167000, processed: 1315000, actuated: 1355000
[338]: sampled: 167000, processed: 1345000, actuated: 1385000
[339]: sampled: 168000, processed: 1500000, actuated: 1540000
[340]: sampled: 169000, processed: 1562000, actuated: 1602000
[341]: sampled: 171000, processed: 1533000, actuated: 1574000
[342]: sampled: 177000, processed: 1540000, actuated: 1580000
[343]: sampled: 184000, processed: 1608000, actuated: 1648000
[344]: sampled: 192000, processed: 1737000, actuated: 1777000
[345]: sampled: 164000, processed: 1464000, actuated: 1504000
[346]: sampled: 167000, processed: 1590000, actuated: 1631000
[347]: sampled: 170000, processed: 1471000, actuated: 1511000
[348]: sampled: 173000, processed: 1536000, actuated: 1576000
