sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[211]: sampled: 169000, processed: 1471000, actuated: 1511000
[212]: sampled: 175000, processed: 1598000, actuated: 1638000
[213]: sampled: 180000, processed: 1511000, actuated: 1551000
[214]: sampled: 185000, processed: 1578000, actuated: 1618000
[215]: sampled: 191000, processed: 1521000, actuated: 1561000
[216]: sampled: 167000, processed: 1531000, actuated: 1571000
[217]: sampled: 176000, processed: 1417000, actuated: 1457000
[218]: sampled: 182000, processed: 1330000, actuated: 1371000
[219]: sampled: 190000, processed: 1369000, actuated: 1409000
[220]: sampled: 167000, processed: 1407000, actuated: 1447000
[221]: sampled: 174000, processed: 1413000, actuated: 1453000
[222]: sampled: 178000, processed: 1632000, actuated: 1673000
[223]: sampled: 187000, processed: 1518000, actuated: 1558000
[224]: sampled: 189000, processed: 1521000, actuated: 1561000
[225]: sampled: 163000, processed: 1434000, actuated: 1474000
[226]: sampled: 172000, processed: 1657000, actuated: 1697000
[227]: sampled: 179000, processed: 1603000, actuated: 1643000
[228]: sampled: 187000, processed: 1519000, actuated: 1559000
[229]: sampled: 162000, processed: 1648000, actuated: 1688000
[230]: sampled: 169000, processed: 1378000, actuated: 1418000
[231]: sampled: 172000, processed: 1564000, actuated: 1604000
[232]: sampled: 176000, processed: 1477000, actuated: 1517000
[233]: sampled: 178000, processed: 1418000, actuated: 1458000
[234]: sampled: 182000, processed: 1514000, actuated: 1554000
[235]: sampled: 188000, processed: 1428000, actuated: 1468000
[236]: sampled: 163000, processed: 1495000, actuated: 1535000
[237]: sampled: 170000, processed: 1348000, actuated: 1388000
[238]: sampled: 176000, processed: 1659000, actuated: 1699000
[239]: sampled: 179000, processed: 1541000, actuated: 1582000
[240]: sampled: 185000, processed: 1517000, actuated: 1557000
[241]: sampled: 192000, processed: 1616000, actuated: 1656000
[242]: sampled: 168000, processed: 1562000, actuated: 1602000
[243]: sampled: 179000, processed: 1420000, actuated: 1460000
[244]: sampled: 189000, processed: 1582000, actuated: 1622000
[245]: sampled: 169000, processed: 1471000, actuated: 1511000
[246]: sampled: 181000, processed: 1392000, actuated: 1432000
[247]: sampled: 192000, processed: 1371000, actuated: 1411000
[248]: sampled: 171000, processed: 1472000, actuated: 1512000
[249]: sampled: 182000, processed: 1482000, actuated: 1523000
[250]: sampled: 194000, processed: 1465000, actuated: 1506000
[251]: sampled: 175000, processed: 1569000, actuated: 1609000
[252]: sampled: 187000, processed: 1489000, actuated: 1529000
[253]: sampled: 163000, processed: 1648000, actuated: 1689000
[254]: sampled: 172000, processed: 1412000, actuated: 1452000
[255]: sampled: 183000, processed: 1485000, actuated: 1525000
[256]: sampled: 195000, processed: 1619000, actuated: 1659000
[257]: sampled: 172000, processed: 1658000, actuated: 1698000
[258]: sampled: 183000, processed: 1484000, actuated: 1524000
[259]: sampled: 193000, processed: 1464000, actuated: 1504000
[260]: sampled: 171000, processed: 1442000, actuated: 1482000
[261]: sampled: 182000, processed: 1606000, actuated: 1646000
[262]: sampled: 190000, processed: 1430000, actuated: 1471000
[263]: sampled: 172000, processed: 1535000, actuated: 1576000
[264]: sampled: 186000, processed: 1427000, actuated: 1468000
[265]: sampled: 201000, processed: 1718000, actuated: 1758000
[266]: sampled: 179000, processed: 1695000, actuated: 1735000
[267]: sampled: 191000, processed: 1431000, actuated: 1471000
[268]: sampled: 169000, processed: 1470000, actuated: 1510000
[269]: sampled: 176000, processed: 1540000, actuated: 1580000
[270]: sampled: 187000, processed: 1458000, actuated: 1498000
[271]: sampled: 166000, processed: 1864000, actuated: 1905000
[272]: sampled: 142000, processed: 1566000, actuated: 1607000
[273]: sampled: 182000, processed: 1545000, actuated: 1585000
[274]: sampled: 192000, processed: 1401000, actuated: 1442000
[275]: sampled: 172000, processed: 1352000, actuated: 1392000
[276]: sampled: 185000, processed: 1641000, actuated: 1681000
[277]: sampled: 171000, processed: 1504000, actuated: 1544000
[278]: sampled: 181000, processed: 1483000, actuated: 1523000
[279]: sampled: 193000, processed: 1434000, actuated: 1474000
